ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
4545880,Imported,Used car,Pickup,0,Orange,Colorful,4,5,Diesel,3.2,Automatic,4WD,10.8,Ford,Ranger,2017,Ford Ranger Wildtrak 3.2L 4x4 AT 2017,"600 Million
",https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2017-4545880,0.6
4546121,Imported,Used car,Sedan,0,Black,Orange,4,5,Petrol,3,Automatic,FWD,13.6,Hyundai,Grandeur,2012,Hyundai Grandeur HG 300 2012,"610 Million
",https://bonbanh.com/xe-hyundai-grandeur-hg-300-2012-4546121,0.61
4546332,Imported,Used car,Sedan,0,White,Black,4,5,Petrol,2,Automatic,RFD,5,BMW,3_Series,2011,BMW 3 Series 320i 2011,"410 Million
",https://bonbanh.com/xe-bmw-3_series-320i-2011-4546332,0.41
4546335,Domestic assembly,Used car,Sedan,0,Black,Pink,4,5,Petrol,2,Automatic,FWD,8.3,Toyota,Camry,2014,Toyota Camry 2.0E 2014,"595 Million
",https://bonbanh.com/xe-toyota-camry-2.0e-2014-4546335,0.595
4546930,Imported,Used car,SUV,0,Black,Cream,5,7,Petrol,2.7,Automatic,FWD,12.3,Toyota,Highlander,2011,Toyota Highlander LE 2.7 2011,"660 Million
",https://bonbanh.com/xe-toyota-highlander-le-2.7-2011-4546930,0.66
4548087,Imported,Used car,Van/Minivan,0,Sand,Cream,5,7,Petrol,3.5,Automatic,FWD,12.2,Toyota,Sienna,2010,Toyota Sienna LE 3.5 2010,"980 Million
",https://bonbanh.com/xe-toyota-sienna-le-3.5-2010-4548087,0.98
4548700,Imported,Used car,SUV,0,Black,Grey,5,8,Petrol,4.6,Automatic,AWD,16.1,Toyota,Land_Cruiser,2011,Toyota Land Cruiser VX 4.6 V8 2011,"1 Billion 790 Million
",https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2011-4548700,1.79
4549473,Domestic assembly,Used car,SUV,0,Black,Black,5,5,Petrol,2,Automatic,FWD,9,Mazda,CX-5,2016,Mazda CX5 2.0 AT 2016,"665 Million
",https://bonbanh.com/xe-mazda-cx5-2.0-at-2016-4549473,0.665
4549943,Imported,Used car,SUV,0,Black,Cream,5,7,Petrol,5.7,Automatic,AWD,17,Lexus,LX570,2012,Lexus LX 570 2012,"2 Billion 850 Million
",https://bonbanh.com/xe-lexus-lx-570-2012-4549943,2.85
4550088,Domestic assembly,Used car,SUV,0,Red,Brown,5,7,Diesel,2.2,Automatic,AWD,8.9,Hyundai,Santa_Fe,2022,Hyundai SantaFe Premium 2.2L HTRAC 2022,"1 Billion 300 Million
",https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-4550088,1.3
4552194,Imported,Used car,Sedan,0,Silver,Default Value,4,5,Petrol,1.9,Manual,FWD,7.7,Peugeot,405,1990,Peugeot 405 1990,"100 Million
",https://bonbanh.com/xe-peugeot-405--1990-4552194,0.1
4554577,Imported,Used car,SUV,0,Green,Brown,5,7,Petrol,3.5,Automatic,AWD,11.6,Lexus,RX350L,2018,Lexus RX 350L 2018,"3 Billion
",https://bonbanh.com/xe-lexus-rx-350l-2018-4554577,3
4554902,Imported,Used car,Sedan,0,Black,Cream,4,5,Petrol,2.5,Automatic,RFD,10,BMW,5_Series,2010,BMW 5 Series 523i 2010,"688 Million
",https://bonbanh.com/xe-bmw-5_series-523i-2010-4554902,0.688
4556417,Imported,Used car,Sedan,0,Sand,Brown,4,5,Petrol,3,Automatic,FWD,10.9,Nissan,Maxima,1989,Nissan Maxima 3.0 AT Before 1990,"60 Million
",https://bonbanh.com/xe-nissan-maxima-3.0-at-1989-4556417,0.06
4557039,Imported,Used car,SUV,0,Black,Brown,5,5,Petrol,3,Automatic,AWD,9.8,LandRover,Range_Rover,2014,LandRover Range Rover Vogue 3.0 2014,"3 Billion 899 Million
",https://bonbanh.com/xe-landrover-range_rover-vogue-3.0-2014-4557039,3.899
4559911,Imported,Used car,SUV,0,Yellow,Brown,5,5,Petrol,2,Automatic,AWD,13.8,Lexus,RX300,2021,Lexus RX 300 2021,"2 Billion 750 Million
",https://bonbanh.com/xe-lexus-rx-300-2021-4559911,2.75
4559924,Imported,Used car,SUV,0,Black,Black,5,8,Petrol,4.6,Automatic,AWD,15.8,Toyota,Land_Cruiser,2014,Toyota Land Cruiser VX 4.6 V8 2014,"1 Billion 950 Million
",https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-4559924,1.95
4560537,Imported,Used car,Pickup,0,Black,Cream,4,5,Diesel,2.5,Manual,4WD,11.9,Chevrolet,Colorado,2018,Chevrolet Colorado LTZ 2.5L 4x4 MT 2018,"510 Million
",https://bonbanh.com/xe-chevrolet-colorado-ltz-2.5l-4x4-mt-2018-4560537,0.51
4560699,Domestic assembly,Used car,SUV,0,White,Black,5,7,Petrol,2.5,Automatic,4WD,11.1,Nissan,X-Trail,2020,Nissan X trail 2.5 SV Luxury 2020 car,"799 Million
",https://bonbanh.com/xe-nissan-x_trail-2.5-sv-luxury-2020-4560699,0.799
4560954,Imported,Used car,SUV,0,White,Cream,5,7,Petrol,5.7,Automatic,AWD,14.8,Lexus,LX570,2015,Lexus LX 570 2015,"5 Billion 770 Million
",https://bonbanh.com/xe-lexus-lx-570-2015-4560954,5.77
4561549,Domestic assembly,Used car,SUV,0,Red,Black,5,7,Petrol,2.5,Automatic,FWD,10.1,Mazda,CX-8,2019,Mazda CX8 Premium 2019 car,"799 Million
",https://bonbanh.com/xe-mazda-cx8-premium-2019-4561549,0.799
4562985,Imported,Used car,SUV,0,White,Cream,5,5,Petrol,3,Automatic,AWD,14,Mercedes-Benz,GLE400,2015,Mercedes Benz GLE Class GLE 400 4Matic 2015,"1 Billion 650 Million
",https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-2015-4562985,1.65
4565472,Domestic assembly,Used car,Hatchback,0,Green,Black,5,5,Petrol,0.8,Manual,FWD,6.7,Daewoo,Matiz,2004,Daewoo Matiz SE 0.8 MT 2004,"60 Million
",https://bonbanh.com/xe-daewoo-matiz-se-0.8-mt-2004-4565472,0.06
4567512,Domestic assembly,Used car,Sedan,0,Silver,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2019,Toyota Vios 1.5G 2019,"485 Million
",https://bonbanh.com/xe-toyota-vios-1.5g-2019-4567512,0.485
4567552,Imported,Used car,Pickup,0,Yellow,Grey,4,5,Diesel,2.2,Automatic,RFD,11.6,Ford,Ranger,2019,Ford Ranger XLS 2.2L 4x2 AT 2019,"619 Million
",https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2019-4567552,0.619
4569209,Imported,Used car,Pickup,0,Grey,Colorful,4,5,Diesel,3.2,Automatic,4WD,10.3,Ford,Ranger,2016,Ford Ranger Wildtrak 3.2L 4x4 AT 2016,"625 Million
",https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2016-4569209,0.625
4571669,Domestic assembly,Used car,Sedan,0,Red,Cream,4,5,Petrol,1.5,Automatic,RFD,10.2,Mercedes-Benz,C200,2019,Mercedes Benz C class C200 2019,"1 Billion 100 Million
",https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-4571669,1.1
4571676,Imported,Used car,SUV,0,Black,Red,5,5,Petrol,4,Automatic,AWD,8,Mercedes-Benz,G63,2020,Mercedes Benz G class G63 AMG Edition 1 2020,"11 Billion 900 Million
",https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-edition-1-2020-4571676,11.9
4573368,Domestic assembly,Used car,SUV,0,White,Brown,5,7,Petrol,2.4,Automatic,AWD,10.3,Hyundai,Santa_Fe,2019,Hyundai SantaFe Premium 2.4L HTRAC 2019,"950 Million
",https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2019-4573368,0.95
4573600,Domestic assembly,Used car,SUV,0,Red,Black,5,5,Petrol,2,Automatic,AWD,9.4,Mercedes-Benz,GLC300,2018,Mercedes Benz GLC 300 4Matic 2018,"1 Billion 480 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-4573600,1.48
4573640,Imported,Used car,Sedan,0,Green,Cream,4,5,Petrol,2,Automatic,RFD,13,BMW,7_Series,2019,BMW 7 Series 730Li 2019,"2 Billion 999 Million
",https://bonbanh.com/xe-bmw-7_series-730li-2019-4573640,2.999
4575639,Imported,Used car,Sedan,1000000,Grey,Grey,4,5,Petrol,2,Manual,FWD,8,Mazda,626,1992,Mazda 626 2.0 MT 1992,"55 Million
",https://bonbanh.com/xe-mazda-626-2.0-mt-1992-4575639,0.055
4575695,Domestic assembly,Used car,SUV,0,White,Black,5,7,Petrol,2.5,Automatic,FWD,10.1,Mazda,CX-8,2019,Mazda CX8 Premium 2019 car,"799 Million
",https://bonbanh.com/xe-mazda-cx8-premium-2019-4575695,0.799
4576486,Domestic assembly,Used car,SUV,0,Black,Cream,5,5,Petrol,2,Automatic,AWD,4.2,Mercedes-Benz,GLC300,2021,Mercedes Benz GLC 300 4Matic 2021,"2 Billion 89 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-4576486,2.089
4576679,Imported,Used car,SUV,0,Grey,Black,5,7,Petrol,1.5,Automatic,FWD,8.2,Honda,CR-V,2019,Honda CRV L 2019,"880 Million
",https://bonbanh.com/xe-honda-crv-l-2019-4576679,0.88
4577079,Imported,Used car,Sedan,0,Black,Brown,4,5,Petrol,2,Automatic,RFD,13,BMW,7_Series,2016,BMW 7 Series 730Li 2016,"2 Billion 350 Million
",https://bonbanh.com/xe-bmw-7_series-730li-2016-4577079,2.35
4579410,Domestic assembly,Used car,SUV,0,White,Cream,5,7,Petrol,2.5,Automatic,AWD,9.4,Kia,Sorento,2021,Kia Sorento Signature 2.5 AT AWD 2021,"1 Billion 190 Million
",https://bonbanh.com/xe-kia-sorento-signature-2.5-at-awd-2021-4579410,1.19
4579564,Imported,Used car,SUV,0,Red,Brown,5,5,Petrol,2,Automatic,AWD,13.8,Lexus,RX300,2019,Lexus RX 300 2019,"2 Billion 799 Million
",https://bonbanh.com/xe-lexus-rx-300-2019-4579564,2.799
4579631,Imported,Used car,Hatchback,0,White,Black,5,5,Petrol,1.5,Automatic,FWD,6.1,Mazda,2,2018,Mazda 2 Premium 2018 car,"439 Million
",https://bonbanh.com/xe-mazda-2-premium-2018-4579631,0.439
4579788,Imported,Used car,Coupe,0,Red,Cream,5,5,Petrol,3,Automatic,AWD,11.2,Mercedes-Benz,GLE43,2018,Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe 2018,"2 Billion 600 Million
",https://bonbanh.com/xe-mercedes_benz-gle_class-gle-43-amg-4matic-coupe-2018-4579788,2.6
4580131,Domestic assembly,Used car,SUV,0,Grey,Black,5,5,Petrol,2,Automatic,FWD,9.1,Mazda,CX-5,2015,Mazda CX5 2.0 AT 2015,"526 Million
",https://bonbanh.com/xe-mazda-cx5-2.0-at-2015-4580131,0.526
4580326,Domestic assembly,Used car,Sedan,0,Sand,Black,4,5,Petrol,2,Automatic,FWD,7.7,Mazda,6,2015,Mazda 6 2.0 AT 2015,"515 Million
",https://bonbanh.com/xe-mazda-6-2.0-at-2015-4580326,0.515
4580332,Imported,Used car,SUV,0,Black,Black,5,8,Petrol,4.6,Automatic,AWD,13.4,Toyota,Land_Cruiser,2019,Toyota Land Cruiser VX.R 4.6 V8 2019,"3 Billion 950 Million
",https://bonbanh.com/xe-toyota-land_cruiser-vx.r-4.6-v8-2019-4580332,3.95
4580363,Imported,Used car,Pickup,0,Black,Black,4,5,Diesel,2.5,Automatic,4WD,12.4,Chevrolet,Colorado High Country,2019,Chevrolet Colorado High Country 2.5L 4x4 AT 2019,"490 Million
",https://bonbanh.com/xe-chevrolet-colorado-high-country-2.5l-4x4-at-2019-4580363,0.49
4580929,Domestic assembly,Used car,Van/Minivan,0,Black,Cream,5,7,Diesel,2.2,Automatic,FWD,11.8,Kia,Sedona,2020,Kia Sedona 2.2 DAT Deluxe 2020,"860 Million
",https://bonbanh.com/xe-kia-sedona-2.2-dat-deluxe-2020-4580929,0.86
4581398,Domestic assembly,Used car,Truck,0,Green,Black,2,3,Diesel,0,Manual,RFD,21.6,Kia,K2700,2009,Kia K2700 2009 car,"155 Million
",https://bonbanh.com/xe-kia-k2700--2009-4581398,0.155
4581417,Domestic assembly,Used car,SUV,0,White,Black,5,5,Petrol,1.5,Automatic,FWD,8.7,Ford,EcoSport Titanium,2018,Ford EcoSport Titanium 1.5L AT 2018,"530 Million
",https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-4581417,0.53
4582475,Imported,Used car,SUV,0,Black,Grey,5,5,Petrol,5,Automatic,AWD,9.8,LandRover,Range_Rover,2013,LandRover Range Rover Autobiography 5.0 2013,"3 Billion 450 Million
",https://bonbanh.com/xe-landrover-range_rover-autobiography-5.0-2013-4582475,3.45
4582651,Domestic assembly,Used car,Sedan,0,Black,Cream,4,5,Petrol,3,Automatic,RFD,10.2,Mercedes-Benz,S450L,2019,Mercedes Benz S class S450L 2019,"2 Billion 999 Million
",https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2019-4582651,2.999
4584204,Imported,Used car,SUV,0,Silver,Brown,5,7,Petrol,2.7,Automatic,FWD,11.6,Toyota,Highlander,2009,Toyota Highlander 2.7 2009,"540 Million
",https://bonbanh.com/xe-toyota-highlander-2.7-2009-4584204,0.54
4585660,Imported,Used car,Pickup,0,Black,Silver,4,5,Diesel,2.5,Automatic,4WD,11.9,Chevrolet,Colorado,2018,Chevrolet Colorado LTZ 2.5L 4x4 AT 2018,"490 Million
",https://bonbanh.com/xe-chevrolet-colorado-ltz-2.5l-4x4-at-2018-4585660,0.49
4585693,Imported,Used car,Sedan,0,Brown,Black,4,5,Petrol,1.6,Automatic,AWD,7,Peugeot,508,2015,Peugeot 508 1.6 AT 2015,"495 Million
",https://bonbanh.com/xe-peugeot-508-1.6-at-2015-4585693,0.495
4586012,Domestic assembly,Used car,Crossover,0,White,Cream,5,5,Petrol,1.6,Automatic,FWD,9.8,Hyundai,Tucson,2018,Hyundai Tucson 1.6 AT Turbo 2018,"760 Million
",https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-2018-4586012,0.76
4586907,Domestic assembly,Used car,SUV,0,White,Brown,5,7,Diesel,2.2,Automatic,AWD,10.3,Hyundai,Santa_Fe,2019,Hyundai SantaFe Premium 2.2L HTRAC 2019,"1 Billion 79 Million
",https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2019-4586907,1.079
4587101,Domestic assembly,Used car,Sedan,0,Black,Cream,4,5,Petrol,3,Automatic,RFD,9,Mercedes-Benz,S400L,2016,Mercedes Benz S class S400L 2016,"2 Billion 450 Million
",https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-4587101,2.45
4587181,Domestic assembly,Used car,SUV,0,White,Cream,5,7,Diesel,2.2,Automatic,FWD,11,Hyundai,Santa_Fe,2018,Hyundai SantaFe 2.2L 2018,"665 Million
",https://bonbanh.com/xe-hyundai-santafe-2.2l-2018-4587181,0.665
4588372,Imported,Used car,Sedan,100,Black,Cream,4,5,Petrol,4.3,Automatic,RFD,10,Lexus,LS430,2003,Lexus LS 430 2003,"420 Million
",https://bonbanh.com/xe-lexus-ls-430-2003-4588372,0.42
4588375,Imported,Used car,Sedan,100,Sand,Cream,4,5,Petrol,3.5,Automatic,FWD,9.9,Lexus,ES350,2006,Lexus ES 350 2006,"580 Million
",https://bonbanh.com/xe-lexus-es-350-2006-4588375,0.58
4591559,Imported,Used car,Hatchback,0,Silver,Cream,5,5,Petrol,1,Manual,FWD,7.1,Kia,Morning,2006,Kia Morning LX 1.0 MT 2006,"112 Million
",https://bonbanh.com/xe-kia-morning-lx-1.0-mt-2006-4591559,0.112
4591560,Imported,Used car,Hatchback,0,White,Grey,5,5,Petrol,1,Manual,FWD,6.9,Hyundai,i10,2014,Hyundai i10 Grand 1.0 MT Base 2014,"198 Million
",https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-base-2014-4591560,0.198
4591900,Imported,Used car,SUV,0,White,Black,5,5,Petrol,2,Automatic,AWD,10.5,Mercedes-Benz,GLC300,2017,Mercedes Benz GLC 300 Coupe 4Matic 2017,"2 Billion 80 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-coupe-4matic-2017-4591900,2.08
4591982,Domestic assembly,Used car,SUV,0,White,Black,5,5,Petrol,2,Automatic,FWD,9.3,Mazda,CX-5,2017,Mazda CX5 2.0 AT 2017,"660 Million
",https://bonbanh.com/xe-mazda-cx5-2.0-at-2017-4591982,0.66
4592647,Domestic assembly,Used car,SUV,0,Green,Brown,5,8,Petrol,1.8,Manual,RFD,7,Toyota,Zace,2004,Toyota Zace GL 2004,"145 Million
",https://bonbanh.com/xe-toyota-zace-gl-2004-4592647,0.145
4593215,Imported,Used car,Pickup,0,Silver,Black,4,5,Diesel,2.5,Manual,4WD,10.6,Mitsubishi,Triton,2010,Mitsubishi Triton GLS 4x4 MT 2010,"299 Million
",https://bonbanh.com/xe-mitsubishi-triton-gls-4x4-mt-2010-4593215,0.299
4594242,Domestic assembly,Used car,Sedan,0,Sand,Cream,4,5,Petrol,1.5,Manual,FWD,8,Toyota,Vios,2004,Toyota Vios 1.5G 2004,"140 Million
",https://bonbanh.com/xe-toyota-vios-1.5g-2004-4594242,0.14
4595633,Imported,Used car,Sedan,0,Brown,Black,4,5,Petrol,2,Automatic,RFD,5,BMW,3_Series,2013,BMW 3 Series 320i 2013,"468 Million
",https://bonbanh.com/xe-bmw-3_series-320i-2013-4595633,0.468
4595641,Domestic assembly,Used car,Hatchback,0,Brown,Grey,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai,i10,2021,Hyundai i10 Grand 1.2 AT 2021 car,"399 Million
",https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2021-4595641,0.399
4596113,Imported,Used car,Pickup,0,White,Black,4,5,Diesel,2,Automatic,RFD,11.6,Ford,Ranger,2019,Ford Ranger Wildtrak 2.0L 4x2 AT 2019,"619 Million
",https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x2-at-2019-4596113,0.619
4596325,Domestic assembly,Used car,Truck,0,Yellow,Different color,2,2,Diesel,0,Manual,RFD,0,Isuzu,QKR,2015,Isuzu QKR 91PS 1.85 tons 2015,"250 Million
",https://bonbanh.com/xe-isuzu-qkr-91ps-1_85-tan-2015-4596325,0.25
