ad_id,origin,car_model,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,car_name,log_price,Brand_Ranking,Yeo_Johnson_mileage,age
449343,Domestic assembly,SUV,White,Black,5,7,Petrol,2.0,Automatic,FWD,10.1,Mitsubishi Outlander 2.0 CVT 2022,20.53089394,101,2.312535423847214,2
449349,Domestic assembly,SUV,Silver,Black,5,7,Petrol,1.5,Manual,FWD,10.0,Mitsubishi Xpander 1.5 MT 2022,20.13447867,101,2.302585092994046,2
485640,Domestic assembly,SUV,White,Black,5,7,Diesel,2.4,Automatic,RFD,9.5,Toyota Fortuner 2.4G 4x2 AT Legender 2022,20.95358359,3,2.2512917986064958,2
485669,Domestic assembly,Crossover,White,Brown,5,8,Petrol,2.0,Manual,RFD,11.0,Toyota Innova E 2.0 MT 2022,20.44222831,3,2.3978952727983707,2
485675,Domestic assembly,Crossover,Silver,Brown,5,8,Petrol,2.0,Manual,RFD,11.0,Toyota Innova E 2.0 MT 2022,20.44222831,3,2.3978952727983707,2
485696,Imported,SUV,Black,Grey,5,7,Petrol,2.7,Automatic,4WD,12.2,Toyota Prado VX 2.7L 2022,21.67415121,3,2.501435951739211,2
515018,Imported,Truck,White,Grey,2,2,Diesel,11.1,Manual,4WD,18.6,Hyundai HD 320 2017 car,21.28288162,9,2.923161580719156,7
531808,Imported,SUV,White,Yellow,5,7,Petrol,2.0,Automatic,AWD,10.4,Volvo XC90 Inscription B6 AWD 2023,22.06010731,15,2.341805806147327,1
560029,Imported,Truck,White,Cream,2,3,Diesel,3.0,Manual,RFD,1.5,Isuzu QKR IZ65 2t5-3t5 BAT 2022,19.89085659,32,0.4054651081081644,2
587030,Imported,Truck,White,Cream,2,3,Diesel,1.0,Manual,RFD,18.6,Hyundai HD Ben 15 Ton 2022,21.28288162,9,2.923161580719156,2
694755,Domestic assembly,Sedan,Brown,Black,4,5,Petrol,1.5,Automatic,FWD,7.1,Honda City RS 1.5 AT 2023 car,20.16813995,7,1.9600947840472696,1
747206,Domestic assembly,Sedan,White,Black,4,5,Petrol,1.5,Manual,FWD,8.1,Toyota Vios E 1.5 MT 2023,20.00787305,3,2.091864061678393,1
960975,Imported,SUV,Green,Brown,5,7,Petrol,2.0,Automatic,AWD,10.4,Volvo XC90 Inscription B6 AWD 2023,22.06010731,15,2.341805806147327,1
1116138,Imported,SUV,Black,Black,5,4,Petrol,2.0,Automatic,AWD,12.4,Mercedes Benz Maybach GLS480 2022,22.89790392,2,2.517696472610991,2
1126086,Domestic assembly,Crossover,Red,Brown,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova Venturer 2.0 AT 2022,20.6010982,3,2.3978952727983707,2
1168135,Domestic assembly,Crossover,Grey,Black,5,8,Petrol,2.0,Manual,RFD,11.0,Toyota Innova E 2.0 MT 2023,20.42216074,3,2.3978952727983707,1
1185796,Domestic assembly,Truck,White,Black,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck Batwing Box 2023,19.46799974,19,2.312535423847214,1
1247739,Imported,SUV,Red,Black,5,5,Petrol,2.0,Automatic,AWD,5.4,Volvo V60 Cross Country B5 AWD 2023,21.58488917,15,1.6863989535702288,1
1280936,Imported,Truck,White,Cream,2,3,Diesel,1.0,Manual,RFD,10.0,Hino 500 Series Maximus 10 Ton 2022,20.95040141,73,2.302585092994046,2
1342584,Imported,SUV,Black,Cream,5,7,Petrol,3.0,Automatic,AWD,11.9,Mercedes Benz GLS 450 4Matic 2022,22.40762568,2,2.476538400117484,2
1342730,Domestic assembly,Sedan,Black,Black,4,5,Petrol,1.5,Automatic,RFD,4.4,Mercedes Benz C class C200 Avantgarde 2022,21.0511297,2,1.4816045409242156,2
1343488,Imported,Van/Minivan,Black,Black,5,6,Petrol,2.0,Automatic,RFD,18.0,Mercedes Benz V class V250 AMG 2022,22.02318498,2,2.8903717578961645,2
1343600,Domestic assembly,SUV,White,Brown,4,5,Petrol,2.0,Automatic,AWD,9.4,Mercedes Benz GLC 300 4Matic 2022,21.55617496,2,2.2407096892759584,2
1343791,Imported,Sedan,Black,Cream,4,4,Petrol,2.0,Automatic,AWD,12.4,Mercedes Benz Maybach S450 2022,22.82727803,2,2.517696472610991,2
1347208,Imported,Sedan,Black,Brown,4,5,Petrol,3.0,Automatic,RFD,3.7,Mercedes Benz S class S450 Luxury 2022,22.43868407,2,1.308332819650179,2
1393396,Domestic assembly,Sedan,Grey,Black,4,5,Petrol,1.5,Automatic,FWD,7.8,Mazda 3 1.5L Premium 2023,20.40718429,42,2.0541237336955462,1
1393417,Domestic assembly,Sedan,Red,Black,4,5,Petrol,1.5,Automatic,FWD,7.8,Mazda 3 1.5L Deluxe 2023,20.17681304,42,2.0541237336955462,1
1394005,Domestic assembly,Hatchback,Red,Black,5,5,Petrol,1.5,Automatic,FWD,7.8,Mazda 3 1.5L Sport Premium 2023,20.33613169,42,2.0541237336955462,1
1429536,Domestic assembly,Sedan,Black,Grey,4,5,Petrol,2.0,Manual,FWD,8.8,Hyundai Accent 1.4 MT 2023,19.86759973,9,2.174751721484161,1
1429547,Domestic assembly,SUV,Black,Brown,5,7,Petrol,2.5,Automatic,AWD,9.4,Hyundai SantaFe Premium 2.5L HTRAC 2023,20.90558739,9,2.2407096892759584,1
1429562,Domestic assembly,Crossover,White,Black,5,5,Petrol,2.0,Automatic,FWD,8.2,Hyundai Tucson 2.0 AT Standard 2022,20.49007195,9,2.1041341542702074,2
1429579,Imported,Van/Minivan,White,Black,5,7,Petrol,1.5,Automatic,FWD,8.3,Hyundai Stargazer Special 1.5 AT 2022,20.12178584,9,2.1162555148025524,2
1429653,Imported,Crossover,White,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Standard 1.5 AT 2022,20.15586986,9,2.0014800002101243,2
1464997,Domestic assembly,Hatchback,White,Colorful,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai i10 1.2 AT 2023 car,19.83410377,9,1.9021075263969205,1
1465025,Domestic assembly,Sedan,Red,Black,4,5,Petrol,1.6,Automatic,FWD,6.6,Hyundai Elantra 1.6 AT Special 2022,20.24523004,9,1.88706964903238,2
1465065,Domestic assembly,SUV,White,Brown,5,7,Petrol,2.5,Automatic,AWD,9.4,Hyundai SantaFe Premium 2.5L HTRAC 2023,20.9097454,9,2.2407096892759584,1
1465078,Domestic assembly,Sedan,Red,Black,4,5,Petrol,1.6,Automatic,FWD,6.3,Hyundai Elantra N-Line 1.6 Turbo AT 2023,20.46060153,9,1.840549633397487,1
1465099,Domestic assembly,SUV,White,Brown,5,7,Petrol,2.5,Automatic,FWD,9.4,Hyundai SantaFe Standard 2.5L 2023,20.73321617,9,2.2407096892759584,1
1465123,Domestic assembly,Hatchback,Red,Black,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai i10 1.2 AT 2023 car,19.83653391,9,1.9021075263969205,1
1467840,Imported,Van/Minivan,Black,Grey,5,7,Petrol,1.5,Automatic,FWD,8.3,Hyundai Stargazer Premium 1.5 AT 2022,20.22073902,9,2.1162555148025524,2
1508142,Domestic assembly,Truck,White,Grey,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck 1.0 MT 2021,19.33296345,19,2.312535423847214,3
1519607,Domestic assembly,Crossover,White,Black,5,5,Diesel,2.0,Automatic,FWD,9.1,Hyundai Tucson 2.0 AT CRDi Special 2023,20.76728272,9,2.2082744135228043,1
1570629,Domestic assembly,Truck,White,Grey,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck 1.0 MT 2022,19.45741763,19,2.312535423847214,2
1570743,Domestic assembly,Truck,White,Grey,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck 1.0 MT 2022,19.33296345,19,2.312535423847214,2
1570896,Domestic assembly,Truck,Green,Grey,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck 1.0 MT Ben 2022,19.45741763,19,2.312535423847214,2
1580673,Domestic assembly,Sedan,White,Grey,4,5,Petrol,1.4,Automatic,FWD,8.8,Hyundai Accent 1.4 AT Special 2023,20.05383518,9,2.174751721484161,1
1599616,Domestic assembly,Crossover,Grey,Sand,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova 2.0G 2023 car,20.58400377,3,2.3978952727983707,1
1625985,Domestic assembly,Crossover,Copper,Brown,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova G 2.0 AT 2023 car,20.51254481,3,2.3978952727983707,1
1660868,Domestic assembly,SUV,White,Cream,5,7,Petrol,1.5,Automatic,FWD,7.3,Honda CRV G 2023 car,20.61568063,7,1.9878743481543453,1
1668465,Imported,Crossover,Grey,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Special 1.5 AT 2022,20.24199902,9,2.0014800002101243,2
1733151,Domestic assembly,Crossover,Red,Grey,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova Venturer 2.0 AT 2023,20.6010982,3,2.3978952727983707,1
1736820,Imported,Pickup,Orange,Black,4,5,Diesel,2.4,Automatic,RFD,10.5,Toyota Hilux 2.4L 4x2 AT 2023,20.3751258,3,2.3513752571634776,1
1784799,Imported,Sedan,White,Grey,4,5,Petrol,1.4,Automatic,FWD,6.9,Suzuki Ciaz 1.4 AT 2022 car,20.0959064,19,1.9315214116032136,2
1799555,Imported,Truck,White,Grey,2,2,Petrol,1.5,Manual,RFD,23.3,Suzuki Carry Pro Sealed Car 2022,19.59933574,19,3.1484533605716547,2
1799592,Imported,Truck,White,Grey,2,2,Petrol,1.5,Manual,RFD,23.3,Suzuki Carry Pro 2022 car,19.51595413,19,3.1484533605716547,2
1807887,Imported,SUV,White,Black,5,7,Diesel,2.4,Automatic,RFD,10.9,Mitsubishi Pajero Sport 2.4D 4x2 AT 2023,20.84548347,101,2.388762789235098,1
1875988,Imported,Crossover,Red,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Special 1.5 AT 2022,20.24199902,9,2.0014800002101243,2
1876186,Imported,Crossover,Black,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Special 1.5 AT 2022,20.24199902,9,2.0014800002101243,2
1876223,Domestic assembly,Sedan,White,Grey,4,5,Petrol,1.4,Automatic,FWD,8.8,Hyundai Accent 1.4 AT 2023,19.95323761,9,2.174751721484161,1
1876299,Imported,Crossover,Grey,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Premium 1.5 AT 2022,20.3751258,9,2.0014800002101243,2
1888442,Domestic assembly,Crossover,White,Black,5,5,Petrol,2.0,Automatic,FWD,9.1,Hyundai Tucson 2.0 AT Special 2023,20.64854229,9,2.2082744135228043,1
1939983,Domestic assembly,Sedan,White,Grey,4,5,Petrol,1.4,Manual,FWD,8.8,Hyundai Accent 1.4 MT Standard 2023,19.81939763,9,2.174751721484161,1
1977257,Domestic assembly,SUV,Green,Cream,5,5,Petrol,2.0,Automatic,RFD,9.4,Mercedes Benz GLC 200 2022,21.34330455,2,2.2407096892759584,2
2001944,Imported,Hatchback,Green,Black,5,5,Petrol,1.2,Automatic,FWD,6.1,Suzuki Swift GLX 1.2 AT 2022 car,20.123609,19,1.8082887711792652,2
2048368,Imported,Hatchback,Green,Grey,5,5,Petrol,1.2,Automatic,FWD,5.9,Suzuki Swift GLX 2023 car,20.14166003,19,1.7749523509116738,1
2050181,Domestic assembly,Hatchback,White,Black,5,5,Petrol,1.5,Automatic,FWD,7.8,Mazda 3 1.5L Sport Luxury 2023,20.27541501,42,2.0541237336955462,1
4926121,Imported,SUV,Black,Brown,4,5,Petrol,4.0,Automatic,AWD,8.0,Mercedes Benz G class 63 AMG 2019,22.90931711,2,2.079441541679836,5
2052839,Domestic assembly,Van/Minivan,Yellow,Colorful,4,16,Diesel,2.2,Manual,RFD,16.9,Ford Transit Standard 2023,20.55956974,8,2.827313621929028,1
2055450,Imported,SUV,Red,Brown,5,7,Diesel,2.0,Automatic,4WD,10.8,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,21.11665836,8,2.379546134130174,1
2056515,Imported,Hatchback,White,Black,5,5,Petrol,1.2,Manual,FWD,8.4,Toyota Wigo 1.2G MT 2023,19.67914173,3,2.128231705849268,1
2062513,Imported,Hatchback,Red,Black,5,5,Petrol,1.2,Automatic,FWD,8.4,Toyota Wigo 1.2G AT 2023 car,19.76875389,3,2.128231705849268,1
2094956,Imported,SUV,Green,Red,5,5,Petrol,4.0,Automatic,AWD,8.0,Mercedes Benz G class G63 AMG 2022,23.18711908,2,2.079441541679836,2
2112854,Domestic assembly,Sedan,White,Brown,4,5,Petrol,1.5,Automatic,RFD,4.4,Mercedes Benz C class C200 Avantgarde Plus 2022,21.30492264,2,1.4816045409242156,2
2142752,Domestic assembly,Sedan,Red,Black,4,5,Petrol,1.5,Manual,FWD,8.1,Toyota Vios E 1.5 MT 2023,19.94237974,3,2.091864061678393,1
2165805,Domestic assembly,SUV,White,Black,5,5,Petrol,2.0,Automatic,FWD,9.4,Mazda CX5 2.0 Deluxe 2023 car,20.42080848,42,2.2407096892759584,1
2255425,Domestic assembly,Sedan,White,Brown,4,5,Petrol,2.0,Automatic,RFD,12.6,Mercedes Benz C class C300 AMG 2022,21.46472688,2,2.533696813957432,2
2255426,Imported,Sedan,Black,Cream,4,5,Petrol,3.0,Automatic,RFD,3.7,Mercedes Benz S class S450 2022,22.34047349,2,1.308332819650179,2
2261455,Imported,SUV,Yellow,Black,5,7,Petrol,3.6,Automatic,AWD,12.3,Audi Q7 S-line 3.6 AT 2009,20.17853866,10,2.509599262378372,15
2267738,Imported,SUV,White,Black,5,7,Petrol,2.0,Automatic,AWD,8.4,Mercedes Benz GLB 35 4Matic 2022,21.52437016,2,2.128231705849268,2
2274966,Domestic assembly,Sedan,Yellow,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota Vios G 1.5 CVT 2023,20.11812953,3,2.091864061678393,1
2301154,Domestic assembly,Pickup,Red,Black,4,5,Diesel,2.0,Automatic,4WD,11.7,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,20.7020422,8,2.4595888418037104,1
2301669,Domestic assembly,Van/Minivan,White,Cream,4,16,Diesel,2.2,Manual,RFD,16.9,Ford Transit Standard 2023,20.55956974,8,2.827313621929028,1
2301707,Imported,SUV,White,Black,5,7,Diesel,2.0,Automatic,4WD,10.8,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,21.11192383,8,2.379546134130174,1
2302095,Imported,SUV,Green,Black,5,5,Petrol,2.0,Automatic,AWD,9.6,Subaru Forester 2.0iS EyeSight 2022,20.72226534,20,2.26176309847379,2
2314021,Imported,SUV,Copper,Black,5,7,Diesel,2.0,Automatic,4WD,10.8,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,21.10716677,8,2.379546134130174,1
2324881,Domestic assembly,Crossover,White,Brown,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova G 2.0 AT 2023 car,20.58400377,3,2.3978952727983707,1
2324982,Imported,Hatchback,Red,Cream,5,5,Petrol,1.5,Automatic,FWD,6.2,Toyota Yaris G 1.5 AT 2023,20.34346848,3,1.824549292051046,1
2373043,Domestic assembly,SUV,White,Black,5,5,Petrol,2.0,Automatic,FWD,9.4,Mazda CX5 2.0 Luxury 2023 car,20.44751234,42,2.2407096892759584,1
2417656,Imported,Sedan,Red,Black,4,5,Petrol,1.5,Automatic,FWD,7.6,Honda Civic RS 1.5 AT 2023,20.58973444,7,2.028148247292285,1
2439373,Domestic assembly,Pickup,White,Black,4,5,Diesel,2.2,Manual,4WD,11.7,Ford Ranger XL 2.0L 4x4 MT 2023,20.32129462,8,2.4595888418037104,1
2446532,Domestic assembly,Pickup,Black,Black,4,5,Diesel,2.2,Automatic,RFD,11.7,Ford Ranger XLS 2.0L 4x2 AT 2023,20.37654122,8,2.4595888418037104,1
2446553,Domestic assembly,Van/Minivan,White,Silver,4,3,Diesel,2.2,Manual,RFD,16.9,Ford Transit Van 940Kg 2023,20.55956974,8,2.827313621929028,1
2450325,Domestic assembly,Crossover,White,Black,5,5,Diesel,2.0,Automatic,FWD,8.2,Hyundai Tucson 2.0 AT CRDi Special 2022,20.61345097,9,2.1041341542702074,2
2450364,Domestic assembly,Sedan,Red,Cream,4,5,Petrol,1.4,Automatic,FWD,8.8,Hyundai Accent 1.4 AT 2022,19.97248954,9,2.174751721484161,2
2450413,Domestic assembly,SUV,Silver,Brown,5,7,Diesel,2.2,Automatic,AWD,8.9,Hyundai SantaFe Premium 2.2L HTRAC 2022,20.9147123,9,2.186051276738094,2
2453826,Imported,Truck,White,Cream,2,3,Diesel,3.9,Manual,RFD,18.6,Hyundai HD 270 BEN-GA CO 2017,20.03011866,9,2.923161580719156,7
2457664,Domestic assembly,Sedan,White,Cream,4,5,Petrol,1.4,Automatic,FWD,8.8,Hyundai Accent 1.4 AT Special 2022,19.99345467,9,2.174751721484161,2
2457673,Domestic assembly,Sedan,White,Grey,4,5,Petrol,1.4,Manual,FWD,8.8,Hyundai Accent 1.4 MT Standard 2022,19.82186372,9,2.174751721484161,2
2457693,Domestic assembly,Sedan,White,Colorful,4,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai i10 1.2 AT 2023 car,19.80447197,9,1.9021075263969205,1
2457804,Domestic assembly,Hatchback,White,Black,5,5,Petrol,1.25,Manual,FWD,6.7,Hyundai i10 1.2 MT Standard 2022,19.62365305,9,1.9021075263969205,2
2486139,Imported,Hatchback,White,Black,5,5,Petrol,1.2,Automatic,FWD,5.9,Suzuki Swift GLX 1.2 AT 2023 car,20.14166003,19,1.7749523509116738,1
2519967,Imported,Sedan,Black,Brown,4,5,Petrol,3.0,Automatic,RFD,3.7,Mercedes Benz S class S450 Luxury 2022,22.40576832,2,1.308332819650179,2
2520372,Domestic assembly,SUV,White,Black,5,5,Petrol,2.0,Automatic,AWD,9.4,Mercedes Benz GLC 200 4Matic 2022,21.47891822,2,2.2407096892759584,2
2520901,Domestic assembly,SUV,White,Brown,5,7,Diesel,2.2,Automatic,AWD,8.9,Hyundai SantaFe Premium 2.2L HTRAC 2022,20.9147123,9,2.186051276738094,2
2538257,Imported,SUV,Silver,Grey,5,7,Petrol,1.5,Manual,FWD,9.1,Suzuki Ertiga GL 1.5 MT 2022,20.02811665,19,2.2082744135228043,2
2544507,Domestic assembly,Sedan,Sand,Cream,4,5,Petrol,1.4,Automatic,FWD,8.8,Hyundai Accent 1.4 AT Special 2022,20.05383518,9,2.174751721484161,2
2545177,Imported,Crossover,Black,Black,5,5,Petrol,1.5,Automatic,FWD,7.4,Hyundai Creta Standard 1.5 AT 2022,20.25805072,9,2.0014800002101243,2
2545232,Domestic assembly,Crossover,White,Black,5,5,Petrol,2.0,Automatic,FWD,8.2,Hyundai Tucson 2.0 AT Standard 2022,20.44355193,9,2.1041341542702074,2
2545268,Domestic assembly,SUV,Red,Brown,5,7,Petrol,2.5,Automatic,AWD,8.9,Hyundai SantaFe Premium 2.5L HTRAC 2022,20.83837864,9,2.186051276738094,2
2545274,Domestic assembly,SUV,Black,Brown,5,7,Petrol,2.5,Automatic,AWD,8.9,Hyundai SantaFe Premium 2.5L HTRAC 2022,20.84193737,9,2.186051276738094,2
2545864,Domestic assembly,SUV,White,Brown,5,7,Petrol,2.5,Automatic,FWD,8.9,Hyundai SantaFe Standard 2.5L 2022,20.69383703,9,2.186051276738094,2
2545890,Domestic assembly,Hatchback,Red,Black,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai i10 1.2 AT 2023 car,19.80447197,9,1.9021075263969205,1
2551314,Domestic assembly,Crossover,Black,Black,5,5,Petrol,2.0,Automatic,FWD,8.2,Hyundai Tucson 2.0 AT Standard 2022,20.48246735,9,2.1041341542702074,2
2559761,Domestic assembly,Van/Minivan,White,Cream,5,8,Diesel,2.2,Automatic,FWD,8.9,Kia Carnival Luxury 2.2D 2022,20.88793246,16,2.186051276738094,2
2572566,Imported,Wagon,White,Brown,5,5,Petrol,2.0,Automatic,AWD,5.4,Volvo V60 Cross Country B5 AWD 2023,21.58488917,15,1.6863989535702288,1
2572605,Imported,SUV,Yellow,Brown,5,5,Petrol,2.0,Automatic,AWD,7.0,Volvo XC60 Inscription B6 AWD 2023,21.45947251,15,1.9459101490553128,1
2572676,Imported,SUV,Yellow,Brown,5,7,Hybrid,2.0,Automatic,AWD,10.4,Volvo XC90 Recharge T8 AWD 2023,22.19802885,15,2.341805806147327,1
2574165,Domestic assembly,SUV,Colorful,Black,5,7,Petrol,2.5,Automatic,AWD,9.9,Mazda CX8 Premium AWD 2022,20.87941452,42,2.2925347571405443,2
2575236,Domestic assembly,SUV,White,Brown,5,7,Diesel,2.4,Manual,RFD,9.5,Toyota Fortuner 2.4G 4x2 MT 2022,20.7132155,3,2.2512917986064958,2
2597782,Domestic assembly,SUV,White,Black,5,7,Petrol,2.5,Automatic,FWD,9.9,Mazda CX8 Luxury 2022 car,20.72026133,42,2.2925347571405443,2
2613860,Imported,SUV,Silver,Black,5,7,Diesel,2.0,Automatic,4WD,10.8,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,21.10716677,8,2.379546134130174,1
2613878,Imported,SUV,Grey,Black,5,7,Diesel,2.0,Automatic,RFD,10.8,Ford Everest Sport 2.0L 4x2 AT 2023,20.88708392,8,2.379546134130174,1
2613899,Domestic assembly,Pickup,Red,Black,4,5,Diesel,2.2,Automatic,4WD,11.7,Ford Ranger XLT 2.0L 4x4 AT 2023,20.57708333,8,2.4595888418037104,1
2613995,Domestic assembly,SUV,Red,Green,5,5,Petrol,1.5,Automatic,FWD,9.3,Ford Territory Titanium 1.5 AT 2023 car,20.62785565,8,2.2300144001592104,1
2614014,Imported,SUV,Red,Black,5,7,Petrol,2.3,Automatic,AWD,12.4,Ford Explorer Limited 2.3L EcoBoost 2023,21.61485396,8,2.517696472610991,1
2614057,Domestic assembly,Pickup,Grey,Black,4,5,Diesel,2.0,Automatic,4WD,11.7,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,20.7020422,8,2.4595888418037104,1
2614112,Domestic assembly,SUV,Black,Green,5,5,Petrol,1.5,Automatic,FWD,9.3,Ford Territory Titanium X 1.5 AT 2023,20.67617423,8,2.2300144001592104,1
2614182,Imported,Pickup,White,Black,4,5,Diesel,2.0,Automatic,4WD,11.7,Ford Ranger Raptor 2.0L 4x4 AT 2023,20.98486057,8,2.4595888418037104,1
2676458,Domestic assembly,SUV,Red,Black,5,5,Petrol,2.5,Automatic,AWD,9.4,Mazda CX5 Signature Premium 2.5 AT AWD I-Activ 2023,20.64205578,42,2.2407096892759584,1
2681162,Imported,SUV,White,Black,5,7,Petrol,1.5,Manual,FWD,9.1,Suzuki Ertiga GL 1.5 MT 2022,20.02811665,19,2.2082744135228043,2
2720166,Domestic assembly,SUV,Red,Black,5,5,Petrol,1.5,Automatic,FWD,9.3,Ford Territory Titanium X 1.5 AT 2023,20.59996762,8,2.2300144001592104,1
2751459,Imported,SUV,White,Black,5,7,Petrol,2.7,Automatic,RFD,9.5,Toyota Fortuner 2.7L 4x2 AT 2022,20.87598692,3,2.2512917986064958,2
2769939,Domestic assembly,SUV,White,Black,5,5,Petrol,2.0,Automatic,FWD,9.4,Mazda CX5 Deluxe 2.0 AT 2023 car,20.44751234,42,2.2407096892759584,1
2772550,Domestic assembly,SUV,White,Colorful,5,5,Petrol,2.0,Automatic,FWD,9.8,Mazda CX5 2.0 Deluxe 2022 car,20.44751234,42,2.2823823856765264,2
2808129,Imported,Truck,White,Grey,2,2,Petrol,1.5,Manual,RFD,23.3,Suzuki Carry Pro 2022 car,19.57756194,19,3.1484533605716547,2
2813199,Imported,Truck,White,Grey,2,2,Petrol,1.5,Manual,RFD,23.3,Suzuki Carry Pro 2023,19.59625407,19,3.1484533605716547,1
2867693,Imported,Pickup,White,Grey,4,5,Diesel,2.4,Automatic,RFD,12.3,Mitsubishi Triton 4x2 AT 2023,20.29248292,101,2.509599262378372,1
2906381,Domestic assembly,SUV,Red,Black,5,5,Petrol,2.0,Automatic,FWD,9.4,Mazda CX5 Premium 2.0 AT 2023 car,20.52359464,42,2.2407096892759584,1
2906419,Domestic assembly,SUV,Red,Black,5,5,Petrol,2.5,Automatic,AWD,9.4,Mazda CX5 Signature Premium 2.5 AT AWD I-Activ 2023,20.68140163,42,2.2407096892759584,1
2906554,Domestic assembly,SUV,Red,Black,5,5,Petrol,2.0,Automatic,FWD,9.4,Mazda CX5 2.0 Premium 2023 car,20.46060153,42,2.2407096892759584,1
