,describe
1102,"-Forward collision warning system, AEB -Active brake assist system to minimize collisions, BSD -Blind spot monitoring system, LDW -Lane departure warning system, LKA -Parking assist system in lane, SSR -Speed limit reminder system, SACC -Adaptive cruise control system, ADB -Adaptive high beam system, DSM -Driver condition monitoring system, DOW -Scene door open sign, TSR -Sign recognition system, LCDA -Lane change assist system, RCTA -Rear cross-traffic warning system, RCTA -Rear cross-traffic warning system, etc."
1105,"-air forks raise/lower the chassis, electric forks with comfort-normal-sport adjustment -switch to sport mode, the car automatically lowers to create aerodynamics and help the car compact -wheels 21"" -middle dashboard clock -touch entertainment screen with bluetooth phone and music player -rear seat entertainment screen with headphones -panoramic sunroof -front seats with fan, heater, memory -screen Power on 2 rear doors -Burnmester speakers -independent rear seat air conditioning -suede ceiling -Brembo brakes -keyless go, keyless lock -intact wheels -luggage compartment cover -electric trunk -full titanium exhaust system www."
1126,"+1 reverse Tarpaulin 04 Side fenders, 01 rear fender Allowed load to participate in traffic Capacity: 1,950Kg-03 seatsTotal load: 4,995KgOverall dimensions L x W x H(mm): 6370 x 2000 x 2900Internal dimensions of the box L x W x H(mm): 4470 x 1860 x 675/1880BH: 03 years or 100,000kmKM: Air conditioner, 9 maintenance coupons, Radio MP3."
1180,"+1 gear Load capacity: 4,600kgTotal load: 9,500kgOverall size: 8050x2255x3270Dimension inside the box: 6150x2160x2200BH: 03 years or 100,000kmKM: Air conditioner, 12 maintenance coupons, Radio MP3."
1259,"-2021 ODO 4,000 km Red car -cream interior Option: matrix LED lights, cruise control +follow the car in front, lane keeping assist and automatic emergency braking, integrated interior mirrors Compatible with clearsight technology, panoramic sunroof, 10-inch Touch Pro screen, 17 Merdian speakers around the car, Luxtex leather seats, automatic parking, electric trunk, ."
1276,-open door.
1324,"-ODO: 15,000km One owner from the beginning -Interior _x001D_chestnut brown interior* Super new car with free quality, upgraded sound of more than a hundred million."
1402,"-Support Customers buy a car in installments with preferential interest rates, simple and quick documents -Support registration for customers -Genuine nationwide 3-year or 100,000km warranty -Free rain umbrella, leather book, cover steering wheel, coffee perfume -Take souvenir photos."
1442,"-Cash discount (contact) -02 years of physical insurance: 96,000,000 VND -03 years of free maintenance: 20,000,000 VND -03 years unlimited km warranty -Accessories: 30,000,000 VND -5-star resort: 50,000,000 VND -Valuable gifts Outstanding equipment: -AMG exterior -360 camera -Keyless-go key -Panorama sunroof -64-color border lights -13 burmester 590w speakers -Wood paneled interior, Nappa leather upholstery."
1450,"-Condition: Original, 90% painted -All functions work well, Engine and control system still operate smoothly, regularly maintained, interior very beautiful."
1458,-12% cash discount: 263 million -02 years physical insurance: 65 million -03 years free maintenance: 20 million -03 years unlimited km warranty -Accessories: 30 million -5-star resort travel: 50 million -Valuable gifts Outstanding equipment: -Off-road exterior -360 camera -Dashboard screen 12.
1503,"-The car has only run 11,000km and is still very new, one owner."
1523,"-White color with cowhide interior -Car with very low mileage, excellent beauty -Genuine warranty until 2024 -Commitment to car quality -Full company check nationwide."
1563,-3-year warranty with unlimited km.
1588,-Customers please contact for advice.
1607,"-2 airbags, electric power steering wheel, spacious luxurious black interior, 2 air conditioners, ABS, EBD, BA, ASC, HSA, ESS,."
1618,"-Commitment :- 100% original machinery, no accidents or flooding."
1669,"-Typical options: cream interior -electric driver's seat, 02 electric sliding doors, Cruise Control, DCD screen -reversing camera, backup camera program,."
1678,"-Vehicles with no mileage -Vehicles without accidents -Vehicles that are not flooded ManyCar supports transportation in 63 provinces and cities, with low interest rate bank loans."
1693,"-EURO 5 emission standards -Color: White, Black, Orange, Gray -Warranty 3 years or 100,000km -Free 2 times maintenance fee."
1705,"+1 reverse gearFrozen box 01 side door, 02 rear doorsLoad Allowed weight for traffic: 1,990kg Total load: 4990kg Overall dimensions D x W x H (mm): 6240 x 1950 x 2850 Internal dimensions of the box D x W x H (mm): 4270 x 1810 x 1780BH: 03 years or 100,000kmKM: Air conditioner, 12 maintenance coupons, Radio MP3."
1706,"-sophisticated luxury -2021 production -Unlimited km warranty -Black interior -Rolling range: 2000km -Full option car: 7 inch entertainment screen, touchpad, connection support Apple CarPlay, Android Auto, push-button start,."
1743,"-Distance of 285km, fast charging at the station in just 15 minutes for 180km -Smart voice control features: control of air conditioning, entertainment, electric trunk -Headlights, LED taillights, electric folding rearview mirrors, automatic wipers, 6 airbags -Blind spot warning, 360 cam, lane departure warning,."
1752,"+1 reverse gear Allowed load for traffic: 7,900kg Total load: 15,000kg Dimensions Overall dimensions D x W x H (mm): 9,600 x 2500 x 3550 Internal dimensions of the box D x W x H (mm): 7340 x 2350 x 865/2150 Fast delivery Warranty: 03 years or 100,000km KM: Air conditioning, 9 Maintenance coupon, Radio MP3."
1774,-the car has not been in an accident.
1789,"-no defects, meeting TOYOTA standards✓NO accidents | DO NOT flood | NO odo repair."
1790,-unlimited quantities D x W x H: 5469 x 1956 x 1510 (mm) Wheelbase: 3396 (mm) Weight/Load: 2330/560 (kg) Engine: V12 Capacity Engine: 5980 (cc) Maximum power: 450 kW [612 hp] at 4000 -5500 rpm Maximum torque: 900 Nm at 2000 -4000 rpm Transmission: 9-speed automatic 9G- TRONIC Drive: 4MATIC full-time 4-wheel drive Acceleration (0 -100 km/h): 4.
1798,"-only run more than 20,000 km ✓ High quality Nappa leather seats with extremely sharp grain patterns."
1804,"-Manufactured 2019 until November 2019• New -16,000km • Full option version -360 camera -Bumester speakers -panoramic sunroof -multibean led lights -carbon grain cladding -Carplay -wireless charging -HUD -High quality nappa leather seats -etc."
1809,-Vehicle has not been involved in an accident -Vehicle has not been submerged in water -Engine and gearbox Original -Transparent legal records.
1812,"-Runs: 72,000 Km."
1831,"-Vehicle equipped with: Sync3 touch screen, wireless phone connection, navigation map, equipped with 2."
1949,"-ravishingly beautiful ✓Year of production: 2017 to 2018 (Model 2018)✓Origin: 54,000 km✓License plate: 51H-539."
1954,"-Manufactured in 2020, has run 10,000 miles -Option built to be unique in Vietnam Heated seats, heated steering wheel, GT3 sports steering wheel, Plus sports seats, blinds warning, Speed limiter, Cruise Control, Sign reading, Lane departure warning, Yellow seat belt, 911 wheels, Racing gold dial, PDLS+ lights, Black sports exhaust, Bose speakers."
2010,-3.
2015,"-autoBuy -quickly sell high-end luxury cars (do not buy defective cars, cars with legal problems) Free withdrawal of documents for for vehicles with provincial and city license plates."
2044,"-Completely new body kit with obvious changes in the front bumper, rear bumper, both sides of the body and grille -Added cruise control system Cruise Control program -Apple Carplay integration Receive a car immediately in all color options, incentives for customers who buy a car within the month: -Genuine warranty of 3 years or 100,000km."
2055,"-22 inch wheels -Snug doors, electric trunk, electric steps -4 electric seats, folding rear seats electric -massage chair -Self-reversing barn -2 indoor units -2 entertainment control centers -3 DVD screens -5 cameras around the car -Panoramic sunroof -Refrigerated compartment -Undercarriage lift -Electronic clock -Full Meridian Hifi sound -Overtaking warning on both sides of the mirror -."
2062,-3.
2067,"-First registered in 2011, personal name with Hanoi-Odo license plate, standard over 8,000 km, rare beauty!"
2135,"-2 airbags, electric power steering, spacious luxurious black interior, 2 air conditioners, ABS, EBD, BA, ASC, HSA, ESS ,."
2167,-Black color with cream interior -High quality export company name -Genuine 36 month warranty at Mercedes nationwide with unlimited km.
2187,"-White // Brown interior -Authorized personal car -Full maintenance history -Odo: 45,000miles Equipment: 2."
2267,-only 1 owner from new 5.
2276,"-2017 Odo 38,000 km Black -brown interior Options: start/stop, full LED front and rear, electronic brake +auto hold, retractable door, memory for 2 seat positions, 2 independent zone air conditioning, electric trunk, ."
2281,"-The car has a nationwide warranty for 5 years or 100,000 km from Hyundai Thanh Cong."
2285,"-autoBuy -quickly sell high-end luxury cars (do not buy defective cars, cars with legal problems) Free application withdrawal for Vehicles with provincial and city license plates."
2311,-private name The car is built with full options as follows: Porsche Panamera 4S is equipped with a 3.
2322,"-Vehicle has a nationwide warranty for 5 years or 100,000 km from Hyundai Thanh Cong."
2323,"-Vehicle has nationwide warranty for 5 years or 100,000 km from Hyundai Thanh Cong."
2327,"-The car has a nationwide warranty for 5 years or 100,000 km from Hyundai Thanh Cong."
2334,"-Year of production: 2022 -Registration: July 2022 -ODO: 1,000 km -Red color -black seat interior."
2347,-Equipped with 2.
2349,-Commitment: +Vehicle does not crash +Does not flood +does not disintegrate the engine.
2377,"+ODO 50,000km, extremely well-maintained vehicle."
2407,"-360 camera, 2 pillow screens."
2453,"-December 31, 2022: -Get a free 2-year or 50,000km warranty extension package (whichever comes first)."
2463,"-only run more than 20,000 km✓ Premium Nappa leather seats with extremely sharp grain patterns."
2509,-100 km/h is 6.
2510,"-Genuine used car market Selling Ford Ranger Raptor 2020 -Imported from Thailand, car license plate with no expiration date -Odo standard 34,000km, car is very new -Many toys installed: rolled trunk lid, lining Floors, Fuel rims, Bugati headlights, film stickers -Extremely beautiful car quality, no defects, guaranteed no flooding accidents -Genuine 01 year warranty at Ford Da Lat If you are interested, please contact directly for more information."
2599,-ONE OWNER FROM FIRST -original km -full factory maintenance history -Hanoi license plate car -excellent quality from interior to exterior.
2640,-the car has not been involved in an accident.
2654,"-2016 Odo 65,000 miles Red car -black interior Options: start/stop, full LED front and rear, electric seats with 2-position memory, reverse camera, trunk kick,."
2691,"-Brown color, luxurious wood grain interior, 49,000 miles, full maintenance history -Vehicle equipment: Strong engine Powerful with 245 Hp, 8-speed automatic transmission, with 3 driving modes: Sport, Comfort, ECO, Rearview camera, Swing door, Electric trunk,."
2708,"-Leading Light Truck -Engine: 1L -Gearbox: 5MT -Consumption: 6L/ 100km -Number of seats: 2 -Origin: Vietnam -4 cylinder engine, 1L Meets EURO 4 standards with electronic fuel injection."
2752,"-Odo 70,000 km."
2763,+Free car care ✓ Bank installment support up to 75% Best interest rate in the market!
2799,-very nice.
2809,"+body +machinery +flooding) Guaranteed 100% Zin car from new -Car has no crashes, no collisions, no flooding, no minor defects."
2814,"-auto's service✓Buy -quickly and quickly sell high-end cars (don't buy defective cars, cars with legal problems)✓Free Withdraw documents for vehicles with provincial and city license plates."
2820,"+1 gear backward Total load: 14,700kg Allowed load for traffic: 7,400kg -03 seats Overall dimensions D x W x H (mm): 11,810 x 2500 x 3700 Internal dimensions of the box D x W x H (mm): 9600 x 2350 x 2300 Car delivery immediately Insurance: 03 years or 100,000km KM: Cash 50 million, Air conditioner, 9 maintenance coupons, Radio MP3."
2843,"-Beautiful and sparkling✓Year of production: 2019✓Origin: 70,000 km✓License plate: TP 51H-520."
2860,"-Hanoi sea, export VAT 4 billion 350 million."
2881,"-96 km/h, with a maximum speed of 262 km/h."
2903,"-Vietnamese screen, reversing camera, Burmester speakers, -wood grain cladding, perfume -2."
2904,-Updated infotainment system with Android Auto and Apple CarPlay with 8-inch touch screen with integrated navigation and Vietnamese map data.
2910,-Equipped with: +Driver's seat memory function +Front seat heating and cooling function +Wireless phone charging function +Auto-dimming rearview mirror in the car ECM +Tire pressure sensor +LED headlights +10.
2919,"-Smart key -Central LCD screen -Hands-free conversation on the steering wheel -Reverse sensor, Corner -Premium leather seats throughout the car -Electric driver and driver seats, 3-position memory -HT LIM (Speed Limiter) -Auto on-off LED headlights -Led taillights -2-zone automatic AC (with rear seat air vents) -Automatically turns off the engine when stopping at a red light -2 driving modes: Sports and Eco Pro -Genuine sports wheels."
2951,-The car has not been involved in an accident.
2952,-The car has not been involved in an accident.
2972,"-Equipped with high-quality leather seats, DVD screen and reversing camera, automatic air conditioning, smart key and especially the car is equipped with outstanding safety features such as 10 bags Gas, electronic balance, 4-wheel disc brake system, ABS, EBD, BA brakes, hill start assist system."
2991,"-auto's service Quickly buy and sell high-end cars (don't buy defective cars, cars with legal problems) Free withdrawal of documents for vehicles with provincial and city license plates."
2998,"-White color with odo cream interior, 22,000km car is very nice and new -Written commitment that the car has not been crashed, not flooded, full factory inspection included."
3020,"-9-speed automatic transmission -Full-LED headlights with integrated LED daytime running lights -64-color adjustable interior border lights -High-Gloss Ash Wood interior in Brown, Nappa leather seats -Sports gearshift lever -DYNAMIC SELECT control cluster with 5 operating modes."
3033,"-One owner from new, well preserved to every detail, many items have not been peeled off yet."
3043,"-Equipment: +14-way electric front seats, 3-position memory, seat cooling +3-spoke leather-wrapped steering wheel with wood trim integrated with function and control buttons Electric adjustment, heating function+ Driver's seat and steering wheel support entry and exit+ 12."
3055,"-Rolled: 40,000 miles -Vehicle equipped with: Cam360, Panorama roof, Burmester speakers, KeylessGo, Lifting and lowering, 9-speed H/D."
3075,"-BLACK NT_ New: 10,000 miles (super smooth)."
3083,"-Equipment: Rear suspension: Independent, multi-point linkage with balance bar."
3085,"-Fully equipped with options such as Rear Camera, DVD Player, glass mirrors, electric seats, heated seats, sunroof, 19"" rims, ABS electronics, Parking on slopes, cruise control, front and rear sensors, etc."
3094,"-202Hp, 9-speed transmission -Burmester 13 speakers 590w -Reverse camera & 12 front and rear sensors -64-color interior ambient lighting -Multibeam lights, UltraRange headlights 650m -Distraction warning, Automatic stall reverse -Cruise Control / Limited Speed."
3134,"-ODO: 38,000km -car is equipped with: smart key start/stop, integrated steering wheel, dvd player, front sensor In the back, high-quality leather seats come with the car, automatic air conditioning, super fuel-efficient eco, electric folding mirrors, xenon headlights, and many other amenities."
3171,"+Vehicle is equipped with: Independent single-zone automatic air conditioning system, 10-inch display screen with 3D effect, 7-inch integrated entertainment touch screen Combines features such as Apple CarPlay/Android Auto connection, Bluetooth connection, GPS Voice control and command, Sunroof, Smart key 180 degree reversing camera, Electronic handbrake."
3182,"-Equipped with Semi-aniline leather seats, 14-way automatic power adjustment and 3-position memory for the driver's seat, backrest support for the driver and seat cooling function, 10 airbags (including front knee bags, rear bags), VSC, hill start assist, tire pressure warning system, blind spot monitor, traffic warning The rear view camera (RCTA) and rear view camera are all standard, the luxurious leather and wood steering wheel integrates many function keys, and the highlight for the dashboard is meticulous embroidery."
3183,"-Equipment: +Air conditioning: 2 independent zones, comes with S-Flow control system +Adjustable glass doors Electric control+ Sound system: 15 Mark Levinson speakers+ Huge new 12."
3185,-Equipped with a 12.
3186,"-Equipped with touch screen, USB/AUX, Bluetooth connection, hands-free conversation, 6-speaker sound system."
3188,"-Equipment: Automatic anti-glare rearview mirror, Electrically adjustable and folding exterior rearview mirrors, Turn signals on the rearview mirrors, rear light cluster and third brake light use LED technology, Adaptive brakes flash when braking suddenly, ARTICO leather-wrapped dashboard and door panels with decorative border, Perforated front brake disc, front brake caliper with Mercedes-Benz logo printed, Electric sunroof 18-inch multi-spoke wheels ECO Start/Stop function, Push button start, Interior ambient lighting Can adjust 64 colors and brightness, Light brown Linestructure lime wood paneling interior,."
3191,"-Equipped with high-quality leather interior, reversing camera, electric windows, DVD screen, cast wheels, deep air conditioning, etc."
3194,-car has not been in an accident.
3282,"-brown ODO standard 36,000km Vehicle has been inspected as genuine, original, never crashed or flooded Optimal equipment: -4MATIC 2-wheel drive -19-inch multi-spoke wheels -Smart LED headlights -Off-road driving mode (special) -13-speaker Burmester speaker system -Genuine leather seats Contact for more details!"
3295,"-Equipment: +Reverse camera +Front and rear sensors +10 airbags +Qi standard wireless charging, electric rear door sunshades, air conditioning 2-zone automatic climate control, sunroof, start button and electronic handbrake with Auto Hold function."
3297,-The car is equipped with a 48V restart generator (BAS) combined with a lithium-ion battery to help store energy.
3353,"-6-speed automatic transmission and 3 driving modes: Eco, Normal, Sport -8 inch DVD, 9 JBL speakers -18 inch multi-spoke Lazang -Full Led lights , automatically turns on and off according to light and the outside environment."
3369,"-Commitment that the car will not crash, Not flooded, original machinery."
3375,"-Black car, cream black interior -Odo 150,000 km -Vehicle equipped with: Steering wheel weight sensor system according to speed, 7 airbags surrounding the car, fixed safety equipment Designed for children, ABS anti-lock braking system, EBD electronic brake force distribution, VSC electronic balance, HAC downhill assist."
3486,"-Equipped with 3 independent zone automatic air conditioning, central 6."
3505,-Personally using from new -Extremely low mileage 4. -Full manufacturer maintenance history Option According to Vehicle -Brake distance -Remote ignition -Lifting and lowering the chassis -Scene Lane departure warning -Overtaking warning -Cam 360 -3 entertainment screens.
3507,"-has traveled more than 70,000 miles, guaranteed in writing that the car has no defects, whoever buys it will have it tested upon request, thank you."
3514,"-steering wheel paddle shifters, Start/Stop button, DVD entertainment screen -directions -reversing camera -rear sensor,."
3525,"-electric seats -electric trunk -reverse cam screen -sports gear on the steering wheel -front and rear sensors -electronic handbrake -leather seats -car is nearly 1 year old Body insuranceThe car is sold with a guarantee of originality, including inspection and testing from a nationwide mechanic."
3558,"+Electric Officially launched on December 12, 2022 Driven: 400 km 100% new."
3574,"+Metallic Black Paint +Interior: Premium Windsor Leather seats with heating and cooling +Odo: 39k km +20in wheels, 4 new covers 100 % +Meridian sound 17 speakers 825w with SUP +Panorama glass ceiling for natural light +360 camera around the car +New technology 10."
